pruid,prname,date,numdeaths,numtotal,numtested,numrecover,percentrecover,numtoday,percentoday
1,Canada,01-03-2020,0,24,,N/A,,9,0.6
35,Ontario,03-03-2020,0,20,,N/A,,5,0.333
59,British Columbia,03-03-2020,0,12,,N/A,,4,0.5
24,Quebec,03-03-2020,0,1,,N/A,,0,0
1,Canada,03-03-2020,0,33,,N/A,,9,0.375
35,Ontario,05-03-2020,0,22,,N/A,,2,0.1
59,British Columbia,05-03-2020,0,21,,N/A,,9,0.75
24,Quebec,05-03-2020,0,2,,N/A,,1,1
1,Canada,05-03-2020,0,45,,N/A,,12,0.364
35,Ontario,06-03-2020,0,28,,N/A,,6,0.273
59,British Columbia,06-03-2020,0,21,,N/A,,0,0
24,Quebec,06-03-2020,0,2,,N/A,,0,0
1,Canada,06-03-2020,0,51,,N/A,,6,0.133
35,Ontario,07-03-2020,0,28,,N/A,,0,0
59,British Columbia,07-03-2020,0,27,,N/A,,6,0.286
24,Quebec,07-03-2020,0,2,,N/A,,0,0
1,Canada,07-03-2020,0,57,,N/A,,6,0.118
35,Ontario,08-03-2020,0,31,,N/A,,3,0.107
59,British Columbia,08-03-2020,0,27,,N/A,,0,0
24,Quebec,08-03-2020,0,3,,N/A,,1,0.5
48,Alberta,08-03-2020,0,1,,N/A,,1,1
1,Canada,08-03-2020,0,62,,N/A,,5,0.088
35,Ontario,09-03-2020,0,34,,N/A,,3,0.097
59,British Columbia,09-03-2020,0,32,,N/A,,5,0.185
24,Quebec,09-03-2020,0,4,,N/A,,1,0.333
48,Alberta,09-03-2020,0,7,,N/A,,6,6
1,Canada,09-03-2020,0,77,,N/A,,15,0.242
35,Ontario,11-03-2020,0,42,3394,N/A,,8,0.235
59,British Columbia,11-03-2020,0,39,4373,N/A,,7,0.219
24,Quebec,11-03-2020,0,7,556,N/A,,3,0.75
48,Alberta,11-03-2020,0,14,1969,N/A,,7,1
99,Repatriated travellers,11-03-2020,0,1,0,N/A,,1,1
47,Saskatchewan,11-03-2020,0,0,204,N/A,,0,0
46,Manitoba,11-03-2020,0,0,352,N/A,,0,0
13,New Brunswick,11-03-2020,0,0,22,N/A,,0,0
10,Newfoundland and Labrador,11-03-2020,0,0,44,N/A,,0,0
12,Nova Scotia,11-03-2020,0,0,103,N/A,,0,0
11,Prince Edward Island,11-03-2020,0,0,6,N/A,,0,0
60,Yukon,11-03-2020,0,0,0,N/A,,0,0
61,Northwest Territories,11-03-2020,0,0,0,N/A,,0,0
62,Nunavut,11-03-2020,0,0,0,N/A,,0,0
1,Canada,11-03-2020,0,103,11023,N/A,,26,0.338
59,British Columbia,12-03-2020,0,46,5195,N/A,,7,0.179
48,Alberta,12-03-2020,0,19,4109,N/A,,5,0.357
47,Saskatchewan,12-03-2020,0,1,285,N/A,,1,0
46,Manitoba,12-03-2020,0,1,352,N/A,,1,0
35,Ontario,12-03-2020,0,59,4185,N/A,,17,0.405
24,Quebec,12-03-2020,0,13,740,N/A,,6,0.857
13,New Brunswick,12-03-2020,0,1,44,N/A,,1,0
10,Newfoundland and Labrador,12-03-2020,0,0,52,N/A,,0,0
12,Nova Scotia,12-03-2020,0,0,182,N/A,,0,0
11,Prince Edward Island,12-03-2020,0,0,6,N/A,,0,0
61,Northwest Territories,12-03-2020,0,0,34,N/A,,0,0
62,Nunavut,12-03-2020,0,0,1,N/A,,0,0
99,Repatriated travellers,12-03-2020,0,1,0,N/A,,0,0
60,Yukon,12-03-2020,0,0,0,N/A,,0,0
1,Canada,12-03-2020,0,141,15185,N/A,,38,0.369
59,British Columbia,13-03-2020,0,53,5195,N/A,,7,0.152
48,Alberta,13-03-2020,0,23,4109,N/A,,4,0.211
47,Saskatchewan,13-03-2020,0,1,285,N/A,,0,0
46,Manitoba,13-03-2020,0,3,352,N/A,,2,2
35,Ontario,13-03-2020,0,79,4185,N/A,,20,0.339
24,Quebec,13-03-2020,0,17,740,N/A,,4,0.308
11,Prince Edward Island,13-03-2020,0,0,6,N/A,,0,0
10,Newfoundland and Labrador,13-03-2020,0,0,52,N/A,,0,0
13,New Brunswick,13-03-2020,0,1,44,N/A,,0,0
12,Nova Scotia,13-03-2020,0,0,182,N/A,,0,0
99,Repatriated travellers,13-03-2020,0,2,0,N/A,,1,1
60,Yukon,13-03-2020,0,0,0,N/A,,0,0
61,Northwest Territories,13-03-2020,0,0,34,N/A,,0,0
62,Nunavut,13-03-2020,0,0,1,N/A,,0,0
1,Canada,13-03-2020,0,179,15185,N/A,,38,0.27
59,British Columbia,14-03-2020,0,64,7033,N/A,,11,0.208
48,Alberta,14-03-2020,0,29,5247,N/A,,6,0.261
47,Saskatchewan,14-03-2020,0,2,349,N/A,,1,1
46,Manitoba,14-03-2020,0,4,837,N/A,,1,0.333
35,Ontario,14-03-2020,0,79,6646,N/A,,0,0
24,Quebec,14-03-2020,0,17,1584,N/A,,0,0
13,New Brunswick,14-03-2020,0,2,82,N/A,,1,1
10,Newfoundland and Labrador,14-03-2020,0,0,62,N/A,,0,0
12,Nova Scotia,14-03-2020,0,0,481,N/A,,0,0
11,Prince Edward Island,14-03-2020,0,0,6,N/A,,0,0
60,Yukon,14-03-2020,0,0,0,N/A,,0,0
61,Northwest Territories,14-03-2020,0,0,76,N/A,,0,0
62,Nunavut,14-03-2020,0,0,6,N/A,,0,0
99,Repatriated travellers,14-03-2020,0,2,0,N/A,,0,0
1,Canada,14-03-2020,0,199,22409,N/A,,20,0.112
59,British Columbia,15-03-2020,0,73,7033,N/A,,9,0.141
48,Alberta,15-03-2020,0,39,5247,N/A,,10,0.345
47,Saskatchewan,15-03-2020,0,2,349,N/A,,0,0
46,Manitoba,15-03-2020,0,4,837,N/A,,0,0
35,Ontario,15-03-2020,0,103,8461,N/A,,24,0.304
24,Quebec,15-03-2020,0,24,2337,N/A,,7,0.412
10,Newfoundland and Labrador,15-03-2020,0,1,62,N/A,,1,0
13,New Brunswick,15-03-2020,0,2,82,N/A,,0,0
11,Prince Edward Island,15-03-2020,0,1,6,N/A,,1,0
12,Nova Scotia,15-03-2020,0,0,481,N/A,,0,0
60,Yukon,15-03-2020,0,0,0,N/A,,0,0
61,Northwest Territories,15-03-2020,0,0,76,N/A,,0,0
62,Nunavut,15-03-2020,0,0,6,N/A,,0,0
99,Repatriated travellers,15-03-2020,0,4,0,N/A,,2,1
1,Canada,15-03-2020,0,253,24977,N/A,,54,0.271
59,British Columbia,16-03-2020,0,73,9926,N/A,,0,0
48,Alberta,16-03-2020,0,56,10238,N/A,,17,0.436
47,Saskatchewan,16-03-2020,0,6,881,N/A,,4,2
46,Manitoba,16-03-2020,0,7,1848,N/A,,3,0.75
35,Ontario,16-03-2020,0,145,10178,N/A,,42,0.408
24,Quebec,16-03-2020,0,39,3129,N/A,,15,0.625
10,Newfoundland and Labrador,16-03-2020,0,1,161,N/A,,0,0
13,New Brunswick,16-03-2020,0,6,143,N/A,,4,2
12,Nova Scotia,16-03-2020,0,3,1075,N/A,,3,0
11,Prince Edward Island,16-03-2020,0,1,6,N/A,,0,0
60,Yukon,16-03-2020,0,0,0,N/A,,0,0
61,Northwest Territories,16-03-2020,0,0,138,N/A,,0,0
99,Repatriated travellers,16-03-2020,0,4,0,N/A,,0,0
62,Nunavut,16-03-2020,0,0,7,N/A,,0,0
1,Canada,16-03-2020,0,341,37730,N/A,,88,0.348
59,British Columbia,17-03-2020,0,103,11612,N/A,,30,0.411
48,Alberta,17-03-2020,0,74,11487,N/A,,18,0.321
47,Saskatchewan,17-03-2020,0,7,1066,N/A,,1,0.167
46,Manitoba,17-03-2020,0,7,2216,N/A,,0,0
35,Ontario,17-03-2020,0,177,11167,N/A,,32,0.221
24,Quebec,17-03-2020,0,50,4870,N/A,,11,0.282
10,Newfoundland and Labrador,17-03-2020,0,1,161,N/A,,0,0
13,New Brunswick,17-03-2020,0,7,295,N/A,,1,0.167
12,Nova Scotia,17-03-2020,0,5,1075,N/A,,2,0.667
11,Prince Edward Island,17-03-2020,0,1,75,N/A,,0,0
60,Yukon,17-03-2020,0,0,0,N/A,,0,0
61,Northwest Territories,17-03-2020,0,0,145,N/A,,0,0
62,Nunavut,17-03-2020,0,0,7,N/A,,0,0
99,Repatriated travellers,17-03-2020,0,8,0,N/A,,4,1
1,Canada,17-03-2020,0,440,44176,N/A,,99,0.29
59,British Columbia,18-03-2020,0,186,13388,N/A,,83,0.806
48,Alberta,18-03-2020,0,97,13686,N/A,,23,0.311
47,Saskatchewan,18-03-2020,0,8,1910,N/A,,1,0.143
46,Manitoba,18-03-2020,0,15,2739,N/A,,8,1.143
35,Ontario,18-03-2020,0,189,13869,N/A,,12,0.068
24,Quebec,18-03-2020,0,74,5880,N/A,,24,0.48
10,Newfoundland and Labrador,18-03-2020,0,3,161,N/A,,2,2
13,New Brunswick,18-03-2020,0,8,408,N/A,,1,0.143
12,Nova Scotia,18-03-2020,0,7,1278,N/A,,2,0.4
60,Yukon,18-03-2020,0,0,0,N/A,,0,0
11,Prince Edward Island,18-03-2020,0,1,75,N/A,,0,0
61,Northwest Territories,18-03-2020,0,0,145,N/A,,0,0
99,Repatriated travellers,18-03-2020,0,9,0,N/A,,1,0.125
62,Nunavut,18-03-2020,0,0,7,N/A,,0,0
1,Canada,18-03-2020,0,597,53546,N/A,,157,0.357
59,British Columbia,19-03-2020,0,271,16382,N/A,,85,0.457
48,Alberta,19-03-2020,0,146,16507,N/A,,49,0.505
47,Saskatchewan,19-03-2020,0,20,1910,N/A,,12,1.5
46,Manitoba,19-03-2020,0,17,3189,N/A,,2,0.133
35,Ontario,19-03-2020,0,258,18488,N/A,,69,0.365
24,Quebec,19-03-2020,0,121,6757,N/A,,47,0.635
10,Newfoundland and Labrador,19-03-2020,0,3,267,N/A,,0,0
13,New Brunswick,19-03-2020,0,11,527,N/A,,3,0.375
12,Nova Scotia,19-03-2020,0,14,1520,N/A,,7,1
11,Prince Edward Island,19-03-2020,0,2,75,N/A,,1,1
61,Northwest Territories,19-03-2020,0,0,221,N/A,,0,0
62,Nunavut,19-03-2020,0,0,8,N/A,,0,0
60,Yukon,19-03-2020,0,0,0,N/A,,0,0
99,Repatriated travellers,19-03-2020,0,10,0,N/A,,1,0.111
